;;;0 - 4;5 - 9;10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 - 84;85+;
1999;weiblich;Knochen u. Gelenkknorpel (C40-C41);0,1;0,1;0,4;0,5;0,5;0,2;0,1;0,2;0,1;0,3;0,3;0,6;0,7;0,8;1,0;1,6;3,3;2,7;
1999;weiblich;Malignes Melanom der Haut (C43);0,0;0,0;0,0;0,0;0,0;0,4;0,5;0,5;1,2;1,9;2,2;2,6;3,0;3,9;6,4;7,8;8,3;14,9;
1999;weiblich;Weichteile u. mesotheliales Gewebe (C45-C49);0,2;0,2;0,1;0,2;0,3;0,2;0,2;0,5;0,4;0,9;1,1;2,4;3,8;4,1;5,8;9,5;11,1;13,4;
1999;weiblich;Brustdrüse (C50);0,0;0,0;0,0;0,0;0,1;1,0;3,4;9,8;16,9;32,2;48,0;66,6;72,3;85,7;104,1;130,4;162,8;232,2;
1999;weiblich;Vulva (C51);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,1;0,3;1,0;0,8;1,9;2,9;5,9;8,8;16,2;
1999;weiblich;Vagina (C52);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,2;0,1;0,2;0,4;0,6;0,6;1,1;2,0;3,1;5,2;
1999;weiblich;Gebärmutterhals (C53);0,0;0,0;0,0;0,0;0,1;0,5;1,5;2,5;5,2;5,6;6,0;6,9;7,4;8,4;9,8;14,4;16,2;17,7;
1999;weiblich;Gebärmutterkörper (C54-C55);0,0;0,0;0,0;0,1;0,0;0,1;0,1;0,3;0,7;1,7;2,6;5,5;8,6;12,6;20,5;28,7;39,7;55,6;
1999;weiblich;Eierstöcke (C56);0,0;0,0;0,0;0,1;0,4;0,4;0,9;1,3;3,6;5,6;10,0;18,1;25,5;32,5;43,4;55,2;61,5;69,3;
1999;weiblich;Plazenta (C58);0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1999;weiblich;Penis (C60);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;weiblich;Prostata (C61);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;weiblich;Hoden (C62);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;weiblich;Niere (C64);0,0;0,1;0,0;0,1;0,1;0,0;0,1;0,2;0,6;1,3;2,4;4,0;7,8;13,6;16,8;22,3;29,2;36,4;
1999;weiblich;Harnblase (C67);0,0;0,0;0,0;0,0;0,0;0,2;0,1;0,1;0,3;0,6;0,8;2,0;3,1;6,4;11,5;20,8;33,2;62,7;
1999;weiblich;Auge, Gehirn u. Zentrales Nervensystem (C69-C72);0,5;1,2;0,2;0,4;0,6;1,0;1,4;1,7;2,7;3,5;5,2;8,0;11,3;15,7;18,5;19,6;19,4;17,3;
1999;weiblich;Schilddrüse (C73);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,3;0,4;0,9;1,7;3,0;4,5;6,0;8,6;12,4;
1999;weiblich;Nebenniere (C74);0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,1;0,2;0,2;0,2;0,3;0,7;0,7;1,7;2,0;
1999;weiblich;Morbus Hodgkin (C81);0,0;0,0;0,0;0,0;0,4;0,3;0,4;0,3;0,2;0,3;0,3;0,4;0,4;0,9;1,4;2,5;4,1;4,5;
1999;weiblich;Non-Hodgkin-Lymphome (C82-C88);0,1;0,0;0,0;0,2;0,2;0,5;0,4;0,6;1,4;2,1;3,6;5,7;8,7;15,3;18,8;30,0;42,6;42,4;
1999;weiblich;Multiples Myelom (C90);0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,4;0,8;1,5;2,9;6,3;9,6;16,0;23,7;24,6;29,9;
1999;weiblich;Leukämien (C91-C95);0,5;0,6;0,5;0,6;0,9;0,8;1,0;1,8;2,0;3,0;5,4;5,3;8,8;14,7;22,9;32,9;50,2;66,2;
1999;männlich;Mundhöhle und Rachen (C00-C14);0,0;0,0;0,0;0,1;0,1;0,1;0,3;1,5;5,4;11,0;20,0;26,0;28,0;25,2;22,6;25,0;23,4;37,1;
1999;männlich;Speiseröhre (C15);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,3;2,2;6,2;11,7;18,7;23,4;28,0;29,9;34,2;29,2;35,0;
1999;männlich;Magen (C16);0,0;0,0;0,0;0,1;0,2;0,3;0,6;1,5;3,0;6,8;13,4;20,3;30,0;52,9;82,8;119,7;165,9;245,8;
1999;männlich;Dünndarm (C17);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,2;0,1;0,4;0,4;0,9;1,9;2,3;2,8;3,2;3,3;
1999;männlich;Darm (C18-C20);0,0;0,0;0,0;0,1;0,2;0,1;0,9;1,7;4,0;9,1;20,5;38,9;67,1;108,8;167,5;242,5;308,3;439,3;
1999;männlich;Anus u. Analkanal (C21);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,5;0,3;0,4;0,5;0,6;0,8;1,7;2,4;2,6;
1999;männlich;Leber (C22);0,0;0,0;0,0;0,1;0,1;0,2;0,2;0,5;1,4;2,9;6,2;12,0;19,6;33,6;41,3;53,2;56,5;50,0;
1999;männlich;Gallenblase und Gallenwege (C23-C24);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,5;1,1;2,0;3,6;6,8;10,7;16,6;25,5;32,9;46,1;
1999;männlich;Bauchspeicheldrüse (C25);0,0;0,0;0,0;0,1;0,0;0,2;0,3;0,9;2,8;7,5;13,0;21,2;32,0;51,1;70,8;92,3;103,6;117,0;
1999;männlich;Lunge (C33-C34);0,0;0,0;0,0;0,1;0,1;0,2;0,9;3,8;11,0;29,9;61,3;110,6;171,4;285,2;370,8;433,1;431,1;406,9;
1999;männlich;Knochen u. Gelenkknorpel (C40-C41);0,0;0,1;0,3;0,8;0,7;0,3;0,2;0,2;0,2;0,8;0,7;0,9;1,2;1,7;2,2;2,2;2,1;3,3;
1999;männlich;Malignes Melanom der Haut (C43);0,0;0,0;0,0;0,0;0,3;0,3;0,5;1,1;1,5;2,5;3,2;3,8;5,8;8,2;8,8;11,8;16,6;20,6;
1999;männlich;Weichteile u. mesotheliales Gewebe (C45-C49);0,0;0,3;0,2;0,3;0,5;0,4;0,1;0,5;1,0;1,4;2,6;5,2;6,9;10,4;13,6;18,7;19,2;24,0;
1999;männlich;Brustdrüse (C50);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,3;0,5;0,4;0,6;1,3;2,3;3,3;4,2;7,5;
1999;männlich;Vulva (C51);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;männlich;Vagina (C52);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;männlich;Gebärmutterhals (C53);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;männlich;Gebärmutterkörper (C54-C55);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;männlich;Eierstöcke (C56);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;männlich;Plazenta (C58);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;männlich;Penis (C60);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,4;0,2;0,4;1,0;1,2;1,0;1,4;2,9;4,1;
1999;männlich;Prostata (C61);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;1,3;3,4;11,8;27,7;62,0;129,1;251,4;447,9;752,1;
1999;männlich;Hoden (C62);0,0;0,0;0,0;0,1;0,5;0,7;0,7;1,0;0,6;0,6;0,2;0,5;0,5;0,4;0,4;0,7;1,3;4,9;
1999;männlich;Niere (C64);0,2;0,0;0,1;0,0;0,0;0,1;0,1;0,6;1,5;3,6;6,8;10,3;18,3;27,9;35,3;48,0;50,5;61,3;
1999;männlich;Harnblase (C67);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,6;1,3;2,8;6,6;11,9;25,6;45,7;87,4;133,0;215,7;
1999;männlich;Auge, Gehirn u. Zentrales Nervensystem (C69-C72);1,2;1,1;1,3;0,6;1,0;1,3;1,6;2,4;4,1;5,2;9,1;14,7;16,7;21,1;26,0;28,8;27,3;20,1;
1999;männlich;Schilddrüse (C73);0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,3;0,5;0,9;0,9;1,7;3,1;4,2;5,9;6,6;8,8;
1999;männlich;Nebenniere (C74);0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,2;0,1;0,2;0,5;0,6;1,4;1,7;1,1;1,8;
1999;männlich;Morbus Hodgkin (C81);0,0;0,0;0,0;0,1;0,3;0,3;0,2;0,4;0,4;0,5;0,7;0,6;1,2;2,2;2,3;2,6;3,2;3,9;
1999;männlich;Non-Hodgkin-Lymphome (C82-C88);0,1;0,2;0,0;0,1;0,5;0,6;0,5;1,2;1,9;3,5;5,6;8,3;12,5;20,6;32,5;45,8;69,4;57,7;
1999;männlich;Multiples Myelom (C90);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,5;1,0;2,0;4,6;8,3;14,1;21,1;31,1;36,8;42,0;
1999;männlich;Leukämien (C91-C95);0,8;1,2;1,1;1,6;1,2;1,3;1,4;2,1;2,6;3,6;5,3;8,5;14,7;24,2;38,3;58,1;83,6;106,9;
2000;weiblich;Mundhöhle und Rachen (C00-C14);0,1;0,0;0,0;0,0;0,0;0,1;0,1;0,3;1,1;2,1;3,7;5,2;4,2;5,2;5,3;6,4;8,2;15,0;
2000;weiblich;Speiseröhre (C15);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,4;0,9;1,7;3,3;3,7;4,4;6,7;7,5;10,4;14,8;
2000;weiblich;Magen (C16);0,0;0,0;0,0;0,0;0,2;0,4;0,9;2,0;2,3;4,7;6,4;10,2;15,3;24,2;38,7;57,9;84,5;146,2;
2000;weiblich;Dünndarm (C17);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,5;0,5;0,7;1,2;1,2;1,4;1,8;
2000;weiblich;Darm (C18-C20);0,0;0,0;0,0;0,0;0,0;0,4;0,7;1,6;2,8;6,8;11,5;24,1;37,0;57,9;91,7;149,0;234,5;368,7;
2000;weiblich;Anus u. Analkanal (C21);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,2;0,3;0,6;0,6;0,7;0,9;1,4;1,9;4,2;
2000;weiblich;Leber (C22);0,1;0,0;0,0;0,0;0,0;0,0;0,2;0,3;0,7;1,1;2,2;3,2;5,1;9,9;17,0;23,1;29,1;31,4;
2000;weiblich;Gallenblase und Gallenwege (C23-C24);0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,2;0,3;0,7;1,8;4,1;7,4;15,2;21,6;34,4;39,9;57,2;
2000;weiblich;Bauchspeicheldrüse (C25);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,3;1,3;4,2;6,7;11,9;20,4;28,4;47,4;68,6;90,3;110,6;
2000;weiblich;Lunge (C33-C34);0,0;0,0;0,0;0,0;0,0;0,4;0,5;2,1;7,1;14,4;23,9;34,2;40,4;57,4;77,6;87,5;93,8;88,2;
2000;weiblich;Knochen u. Gelenkknorpel (C40-C41);0,0;0,0;0,0;0,4;0,2;0,3;0,2;0,1;0,2;0,2;0,3;0,2;0,8;0,7;0,9;1,9;1,6;2,9;
2000;weiblich;Malignes Melanom der Haut (C43);0,0;0,0;0,0;0,0;0,2;0,2;0,4;0,9;1,2;1,7;1,8;2,8;3,6;5,5;6,4;8,1;9,3;13,3;
2000;weiblich;Weichteile u. mesotheliales Gewebe (C45-C49);0,3;0,0;0,2;0,2;0,2;0,2;0,6;0,3;0,8;0,5;1,8;2,9;3,8;5,2;6,5;9,1;11,9;10,4;
2000;weiblich;Brustdrüse (C50);0,0;0,0;0,0;0,0;0,1;0,4;3,7;8,6;16,6;30,3;46,8;66,2;75,0;85,4;102,0;129,4;167,3;243,2;
2000;weiblich;Vulva (C51);0,1;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,2;0,2;0,4;0,7;0,8;1,9;3,0;6,3;8,8;14,0;
2000;weiblich;Vagina (C52);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,3;0,4;0,6;0,9;1,6;2,4;3,1;
2000;weiblich;Gebärmutterhals (C53);0,0;0,0;0,0;0,0;0,1;0,4;1,0;3,0;4,7;5,9;5,4;5,9;6,5;8,0;9,2;11,9;16,2;16,5;
2000;weiblich;Gebärmutterkörper (C54-C55);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,3;0,9;1,2;2,7;5,0;9,0;13,4;19,6;27,3;35,7;50,9;
2000;weiblich;Eierstöcke (C56);0,0;0,0;0,1;0,1;0,3;0,4;0,6;1,5;3,2;6,0;9,9;18,9;24,5;33,9;42,6;58,0;66,7;69,4;
2000;weiblich;Plazenta (C58);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2000;weiblich;Penis (C60);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2000;weiblich;Prostata (C61);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2000;weiblich;Hoden (C62);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2000;weiblich;Niere (C64);0,1;0,0;0,0;0,0;0,0;0,1;0,1;0,3;0,6;0,8;1,8;3,9;8,3;13,2;16,9;20,7;26,9;33,9;
2000;weiblich;Harnblase (C67);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,4;0,7;1,1;1,6;3,5;6,8;12,2;20,4;37,1;66,1;
2000;weiblich;Auge, Gehirn u. Zentrales Nervensystem (C69-C72);0,4;1,1;0,7;0,3;0,5;1,0;1,5;2,0;2,4;3,4;5,2;9,0;12,9;14,3;18,5;19,9;17,4;15,7;
2000;weiblich;Schilddrüse (C73);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,2;0,8;0,8;1,5;2,5;3,7;5,4;8,2;9,2;
2000;weiblich;Nebenniere (C74);0,2;0,2;0,1;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,9;0,5;0,7;0,6;
2000;weiblich;Morbus Hodgkin (C81);0,1;0,0;0,0;0,0;0,2;0,2;0,2;0,2;0,2;0,1;0,5;0,3;0,5;1,0;1,2;2,1;3,2;2,1;
2000;weiblich;Non-Hodgkin-Lymphome (C82-C88);0,1;0,1;0,1;0,0;0,3;0,4;0,4;0,7;1,2;1,5;3,7;5,9;7,3;12,6;21,4;29,9;36,7;42,0;
2000;weiblich;Multiples Myelom (C90);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,4;0,7;1,6;2,8;5,1;9,7;14,5;19,9;25,2;22,5;
2000;weiblich;Leukämien (C91-C95);1,0;0,7;1,0;0,8;0,9;1,0;1,2;1,1;1,6;3,0;3,6;5,2;8,9;13,0;20,9;33,5;47,5;58,5;
2000;männlich;Mundhöhle und Rachen (C00-C14);0,0;0,0;0,0;0,0;0,0;0,1;0,3;1,1;4,7;11,8;18,2;25,8;24,9;26,9;24,0;20,1;21,3;23,1;
2000;männlich;Speiseröhre (C15);0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,8;2,2;6,2;12,3;18,0;24,7;27,3;27,3;28,0;31,9;34,6;
2000;männlich;Magen (C16);0,0;0,0;0,0;0,0;0,0;0,3;0,7;1,6;2,9;5,9;11,6;18,1;32,5;53,6;81,6;117,9;162,6;224,8;
2000;männlich;Dünndarm (C17);0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,0;0,3;0,3;0,8;1,0;1,5;1,7;1,8;2,5;4,1;
2000;männlich;Darm (C18-C20);0,0;0,0;0,0;0,1;0,1;0,3;0,7;1,6;3,6;7,9;19,8;39,4;65,5;109,9;169,5;233,6;321,3;419,6;
2000;männlich;Anus u. Analkanal (C21);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,3;0,3;0,5;0,6;0,6;0,5;1,0;2,0;3,1;
2000;männlich;Leber (C22);0,1;0,0;0,0;0,0;0,1;0,2;0,1;0,4;1,3;2,9;5,7;10,4;20,1;32,6;44,5;56,0;66,0;63,4;
2000;männlich;Gallenblase und Gallenwege (C23-C24);0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,2;0,6;0,8;1,7;3,5;6,1;11,0;15,8;24,2;28,7;43,9;
2000;männlich;Bauchspeicheldrüse (C25);0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,8;2,1;5,5;12,0;23,1;34,1;47,5;68,0;86,8;110,0;114,7;
2000;männlich;Lunge (C33-C34);0,0;0,0;0,0;0,0;0,1;0,2;0,6;2,9;11,0;28,3;61,5;115,7;176,4;282,3;375,1;440,3;450,3;368,3;
2000;männlich;Knochen u. Gelenkknorpel (C40-C41);0,0;0,0;0,2;0,5;0,6;0,3;0,3;0,2;0,2;0,5;0,4;0,6;0,8;1,5;1,9;3,1;2,2;3,8;
2000;männlich;Malignes Melanom der Haut (C43);0,0;0,0;0,0;0,2;0,1;0,6;0,5;0,9;1,4;2,7;3,4;4,7;6,1;8,1;10,5;12,2;17,5;23,6;
2000;männlich;Weichteile u. mesotheliales Gewebe (C45-C49);0,1;0,0;0,1;0,4;0,3;0,2;0,5;0,6;0,8;1,5;2,8;5,3;8,2;10,8;15,7;20,0;23,5;18,5;
2000;männlich;Brustdrüse (C50);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,2;0,2;0,7;1,0;1,2;3,2;3,2;3,5;8,7;
2000;männlich;Vulva (C51);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2000;männlich;Vagina (C52);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2000;männlich;Gebärmutterhals (C53);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2000;männlich;Gebärmutterkörper (C54-C55);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2000;männlich;Eierstöcke (C56);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2000;männlich;Plazenta (C58);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2000;männlich;Penis (C60);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,5;0,4;0,7;1,1;1,3;1,5;3,0;4,9;
2000;männlich;Prostata (C61);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,9;4,0;11,1;29,4;61,4;120,8;236,9;438,4;734,0;
2000;männlich;Hoden (C62);0,0;0,0;0,0;0,0;0,1;0,8;0,9;0,8;0,7;0,5;0,4;0,4;0,4;0,7;0,4;0,8;0,7;3,6;
2000;männlich;Niere (C64);0,0;0,1;0,0;0,0;0,0;0,0;0,1;0,4;1,4;3,5;5,7;11,5;18,5;26,1;35,5;41,2;58,1;60,3;
2000;männlich;Harnblase (C67);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,5;1,4;3,3;5,0;10,9;22,8;48,1;80,4;125,8;202,0;
2000;männlich;Auge, Gehirn u. Zentrales Nervensystem (C69-C72);0,8;1,2;1,0;0,5;0,6;1,4;1,9;2,6;4,0;6,1;8,4;13,9;16,5;21,8;23,9;27,2;31,4;22,6;
2000;männlich;Schilddrüse (C73);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,3;0,7;0,9;1,5;2,5;3,3;6,0;5,4;5,9;
2000;männlich;Nebenniere (C74);0,2;0,2;0,0;0,0;0,0;0,0;0,1;0,1;0,2;0,1;0,2;0,1;0,3;0,5;0,7;1,0;0,5;0,8;
2000;männlich;Morbus Hodgkin (C81);0,0;0,0;0,0;0,1;0,1;0,2;0,3;0,4;0,2;0,3;0,7;0,6;1,0;1,5;1,9;3,3;3,2;4,1;
2000;männlich;Non-Hodgkin-Lymphome (C82-C88);0,3;0,2;0,1;0,2;0,6;0,5;0,7;1,2;1,7;3,2;5,7;8,3;13,3;20,2;31,6;44,5;48,9;61,1;
2000;männlich;Multiples Myelom (C90);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,4;1,1;2,3;5,3;8,3;12,5;22,7;29,8;39,0;41,8;
2000;männlich;Leukämien (C91-C95);1,0;0,6;1,3;1,4;1,1;0,9;1,4;1,3;2,0;2,6;4,6;9,3;14,6;25,2;40,3;57,0;77,1;109,8;
2001;weiblich;Mundhöhle und Rachen (C00-C14);0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,2;0,8;2,4;3,2;5,3;5,0;5,0;5,1;7,5;8,3;12,2;
2001;weiblich;Speiseröhre (C15);0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,4;0,6;2,3;3,8;4,2;4,6;5,8;8,4;10,4;13,5;
2001;weiblich;Magen (C16);0,0;0,0;0,0;0,0;0,1;0,3;0,4;1,1;2,8;4,1;7,0;9,2;13,1;21,3;36,2;55,3;79,2;143,1;
2001;weiblich;Dünndarm (C17);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,4;0,3;0,6;0,7;1,1;1,5;2,1;2,7;
2001;weiblich;Darm (C18-C20);0,1;0,0;0,0;0,0;0,1;0,3;0,7;1,6;2,7;6,3;13,0;23,9;34,3;55,1;93,1;143,8;220,2;348,6;
2001;weiblich;Anus u. Analkanal (C21);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,2;0,2;0,5;0,3;0,7;1,2;1,0;1,4;2,9;4,6;
2001;weiblich;Leber (C22);0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,6;0,9;2,1;3,4;5,4;8,5;15,0;21,1;26,8;34,8;
2001;weiblich;Gallenblase und Gallenwege (C23-C24);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,5;1,1;2,0;3,7;8,1;13,5;22,1;29,5;39,1;57,2;
2001;weiblich;Bauchspeicheldrüse (C25);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,4;1,3;3,0;6,9;13,8;20,3;30,9;47,1;70,2;93,3;110,4;
2001;weiblich;Lunge (C33-C34);0,0;0,0;0,0;0,1;0,0;0,2;0,3;1,8;5,9;15,2;24,9;36,0;40,9;55,2;79,0;90,7;93,2;86,2;
2001;weiblich;Knochen u. Gelenkknorpel (C40-C41);0,0;0,1;0,2;0,4;0,2;0,3;0,2;0,2;0,2;0,2;0,3;0,4;0,8;1,0;1,3;1,7;2,3;2,8;
2001;weiblich;Malignes Melanom der Haut (C43);0,0;0,1;0,0;0,0;0,0;0,3;0,6;0,7;1,0;1,5;2,2;2,9;3,1;4,5;6,3;7,8;9,7;17,9;
2001;weiblich;Weichteile u. mesotheliales Gewebe (C45-C49);0,4;0,3;0,3;0,3;0,1;0,2;0,5;0,6;0,6;1,0;1,5;3,1;3,8;4,4;6,8;7,8;10,4;11,3;
2001;weiblich;Brustdrüse (C50);0,0;0,0;0,0;0,0;0,1;0,5;2,5;8,3;16,8;27,8;46,1;62,6;73,6;83,0;100,0;133,2;164,2;229,7;
2001;weiblich;Vulva (C51);0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,2;0,3;0,8;0,9;1,5;2,8;6,5;7,3;14,9;
2001;weiblich;Vagina (C52);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,2;0,3;0,4;0,5;0,9;1,1;2,7;3,3;
2001;weiblich;Gebärmutterhals (C53);0,0;0,0;0,0;0,0;0,0;0,3;1,2;2,5;4,6;5,5;6,3;5,5;6,6;7,4;8,3;10,4;15,9;15,9;
2001;weiblich;Gebärmutterkörper (C54-C55);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,3;0,8;1,9;2,6;4,5;8,2;13,5;18,8;24,6;36,5;48,5;
2001;weiblich;Eierstöcke (C56);0,0;0,0;0,0;0,0;0,2;0,3;0,7;1,3;2,5;5,6;11,4;16,7;25,4;33,6;42,6;53,8;62,9;61,7;
2001;weiblich;Plazenta (C58);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2001;weiblich;Penis (C60);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2001;weiblich;Prostata (C61);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2001;weiblich;Hoden (C62);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
2001;weiblich;Niere (C64);0,0;0,1;0,0;0,0;0,0;0,1;0,2;0,3;0,4;1,2;1,9;3,6;8,0;12,9;14,8;22,2;26,0;32,8;
2001;weiblich;Harnblase (C67);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,3;0,4;0,7;1,8;3,0;5,4;12,0;19,1;33,1;55,7;
2001;weiblich;Auge, Gehirn u. Zentrales Nervensystem (C69-C72);1,3;1,1;1,0;0,8;0,6;0,9;1,4;2,1;2,8;4,3;5,0;8,1;11,9;15,6;18,3;19,2;18,1;18,0;
2001;weiblich;Schilddrüse (C73);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,3;0,2;0,6;0,9;1,2;3,2;3,9;5,3;6,1;9,7;
